Sigmoid - Layer #,Accuracy,TP,TN,FP,FN,Sensitivity,Specificity,F1,ROC_AUC
1,0.9210526315789473,0.35526315789473684,0.5657894736842105,0.02631578947368421,0.05263157894736842,0.8709677419354839,0.9555555555555556,0.9,0.9820788530465949
2,0.9473684210526315,0.35526315789473684,0.5921052631578947,0.0,0.05263157894736842,0.8709677419354839,1.0,0.9310344827586207,0.9949820788530466
3,0.9736842105263157,0.3815789473684211,0.5921052631578947,0.0,0.02631578947368421,0.9354838709677419,1.0,0.9666666666666666,0.9985663082437276
4,0.9868421052631579,0.39473684210526316,0.5921052631578947,0.0,0.013157894736842105,0.967741935483871,1.0,0.9836065573770492,0.9985663082437276
5,0.9868421052631579,0.39473684210526316,0.5921052631578947,0.0,0.013157894736842105,0.967741935483871,1.0,0.9836065573770492,0.9992831541218637
6,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9978494623655914
