Activation Functions Combination,Accuracy,TP,TN,FP,FN,Sensitivity,Specificity,F1,ROC_AUC
"['sigmoid', 'sigmoid']",0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9985663082437276
"['relu', 'relu']",0.9210526315789473,0.32894736842105265,0.5921052631578947,0.0,0.07894736842105263,0.8064516129032258,1.0,0.8928571428571428,0.9971326164874552
"['sigmoid', 'relu']",0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9985663082437276
"['relu', 'sigmoid']",0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9971326164874552
